iter	Passed	Remaining
0	252	251756
1	253	126385
2	254	84566
3	256	63785
4	257	51178
5	258	42781
6	259	36788
7	260	32277
8	261	28769
9	262	25973
10	263	23678
11	264	21765
12	265	20148
13	266	18762
14	267	17587
15	268	16538
16	269	15611
17	271	14791
18	272	14057
19	273	13394
20	274	12791
21	275	12242
22	276	11740
23	277	11277
24	278	10852
25	279	10459
26	280	10105
27	281	9773
28	282	9462
29	283	9168
30	284	8893
31	285	8636
32	286	8397
33	287	8166
34	288	7951
35	289	7750
36	290	7557
37	291	7376
38	292	7204
39	293	7041
40	294	6889
41	295	6747
42	296	6606
43	297	6471
44	298	6344
45	299	6218
46	300	6098
47	301	5983
48	302	5875
49	303	5771
50	304	5672
51	305	5575
52	306	5483
53	307	5394
54	309	5310
55	310	5227
56	311	5146
57	312	5070
58	313	4994
59	314	4921
60	315	4849
61	315	4780
62	316	4714
63	317	4649
64	318	4586
65	319	4527
66	320	4469
67	322	4416
68	323	4364
69	324	4312
70	325	4260
71	326	4211
72	327	4163
73	329	4117
74	329	4069
75	330	4023
76	331	3977
77	332	3932
78	333	3889
79	334	3846
80	335	3805
81	336	3767
82	337	3725
83	338	3688
84	339	3652
85	340	3617
86	341	3581
87	342	3546
88	343	3512
89	344	3478
90	344	3446
91	345	3413
92	346	3382
93	347	3352
94	348	3323
95	349	3294
96	351	3267
97	352	3243
98	353	3215
99	354	3189
100	355	3164
101	357	3143
102	358	3123
103	359	3098
104	360	3073
105	361	3048
106	362	3024
107	363	3000
108	364	2976
109	365	2953
110	366	2933
111	367	2911
112	368	2889
113	369	2868
114	369	2846
115	370	2825
116	371	2803
117	372	2783
118	373	2764
119	374	2745
120	375	2727
121	376	2708
122	377	2689
123	378	2672
124	379	2655
125	380	2640
126	381	2623
127	382	2606
128	383	2589
129	384	2573
130	385	2557
131	386	2541
132	387	2525
133	388	2510
134	389	2495
135	390	2480
136	391	2465
137	392	2451
138	393	2436
139	394	2422
140	395	2409
141	396	2394
142	397	2381
143	398	2368
144	399	2354
145	400	2341
146	401	2329
147	402	2316
148	403	2304
149	404	2292
150	405	2280
151	406	2268
152	407	2256
153	408	2243
154	409	2232
155	411	2223
156	411	2212
157	412	2200
158	414	2189
159	414	2178
160	415	2166
161	417	2157
162	418	2147
163	419	2137
164	420	2127
165	421	2116
166	422	2106
167	423	2096
168	424	2086
169	425	2078
170	426	2068
171	427	2058
172	428	2048
173	429	2039
174	430	2031
175	431	2021
176	432	2012
177	433	2003
178	434	1994
179	435	1985
180	436	1976
181	437	1968
182	439	1960
183	440	1952
